Base de datos Antoine del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2         C3          C4        C5    Tmin, K  Tmax, K
 304  Propylbenzene                 C9H12      91.379   -8276.8    -10.176     5.6240E-06    2    173.55   638.35   A
 305  Propylene                     C3H6       43.905   -3097.8    -3.4425     9.9989E-17    6    87.89    364.85   A
 306  Propylformate                 C4H8O2     104.08   -7535.9    -12.348     9.6020E-06    2    180.25   538      A
 307  2-Propylmercaptan             C3H8S      60.43    -5276.9    -5.6572     2.6039E-17    6    142.61   517      A
 308  Propylmercaptan               C3H8S      62.165   -5624      -5.8595     2.0597E-17    6    159.95   536.6    A
 309  1,2-Propyleneglycol           C3H8O2     212.8    -15420     -28.109     2.1564E-05    2    213.15   626      A
 310  Quinone                       C6H4O2     48.651   -7289.5    -3.4453     1.0068E-18    6    388.85   683      A
 311  Silicontetrafluoride          F4Si       272.85   -9548.9    -40.089     6.3699E-15    6    186.35   259      A
 312  Styrene                       C8H8       105.93   -8685.9    -12.42      7.5583E-06    2    242.54   636      A
 313  Succinicacid                  C4H6O4     128.65   -16958     -13.872     2.1559E-18    6    460.65   806      A
 314  Sulfurdioxide                 O2S        47.365   -4084.5    -3.6469     1.7990E-17    6    197.67   430.75   A
 315  Sulfurhexafluoride            F6S        29.16    -2383.6    -1.1342     0             0    223.15   318.69   A
 316  Sulfurtrioxide                O3S        180.99   -12060     -22.839     7.2350E-17    6    289.95   490.85   A
 317  Terephthalicacid              C8H6O4     248.72   -32238     -30.009     4.7950E-06    2    700.15   1113     A
 318  o-Terphenyl                   C18H14     110.52   -14045     -11.861     2.2121E-18    6    329.35   857      A
